Tweets,Polarity,Sentiments
Some say Terrorism has no religion Ok I accept that But i want to know who are those bastards who pelted stones on our Corona Warriors Why Police are afraid of entering some specific areas These are those people who wants INDIA to loose in this War against Corona Virus,0.004615384615384621,Positive
More dangerous then Corona Virus itself They just know how to break the backbone of a human so that their working mentality gets damaged which they did for last 25 years in Tripura Cpim damaged the work culture here People now doesn t want to work,-0.024999999999999994,Negative
I don t see so called Humanists and messengers of peace and love Secular soldiers protest or condem against the brutal murder lynching of sadhus in Maharashtra and also ill treatment faced by religious minorities in Pakistan due to corona This again exposes their hypocrisy,-0.2,Negative
Sir we all are with you You being the CM of Meghalaya is doing a fantastic job Will pray to almighty for a zero cases soon in Meghalaya Hope we get rid of this Corona Pandamic Soon And i being a rider get a sooner chance to visit the Land Of Cloud Stay safe sir,0.45,Positive
The Whole Nation is fighting against the Unseen devil and some people in our Country be like Hume fark nahin padta Hume toh sirf masjid jaake Namaj padhni hain They want India to loose in this War against Corona Time to point out those BackStabber,0.06153846153846154,Positive
Everyone please take 1 min from ur daily 24hrs and pray not only for ur family but for the world where we all do live Please God take away Corona from the world and never it comes back Covid19Out SidharthShukla BeingHuman SalmanKhan IndiaFightsCoronavirus ZeeNews,0.03409090909090909,Positive
The MHA has permitted the inter state movement of stranded persons such as migrant workers in India amid the COVID 19 crisis This move will help migrant workers students pilgrims tourists who have been stranded in different parts of India to return to their home State,0.0,Neutral
Yesterday our volunteers distributed dry rations among tribal villagers in Khagendra Royaja Para Ambassa Tripura in Covid 19 lockdown WeCare Wecarefortribals,-0.06666666666666665,Negative
Time and Tide wait for none One day it will be a memory in my life when I spent Lockdown days COVID 19 at Ambassa,-0.1,Negative
What s happening in West Bengal Mamata is blocking the visit of the Central Team to COVID hospitals in the State She is the modern day Sishupal of West Bengal and her time seems to be up Now is the time to unleash the ultimate weapon called Sudarshan Chakra,0.06666666666666667,Positive
Covid 19india Tripura position,0.0,Neutral
China is crossing all limits At one side they are spreading Covid 19 and locking up the World and they are now raising the Kashmir issue at UNSC And on other side Pakistan is sending terrorists in Kashmir This is Shame Shame at all,-0.125,Negative
Solidarity and Confidence in our collective fight against the novel coronavirus or Covid 19 9pm9minutes MAKAUT stayhome staysafe,0.0,Neutral
Covid19 1No Positive case found in at Udaypur,0.22727272727272727,Positive
